date,index,close,open,high,low,volume,anger,disgust,joy,sadness,fear,su
2014-12-02,2763.545,3.1100,-0.4602,3.6273,-0.5399,437733400.0,3151.0,4057.0,6673.0,1045.0,6092.0,21728.0
2014-12-03,2779.525,0.5800,0.1857,2.1941,-1.0739,562120300.0,3823.0,4632.0,9353.0,1434.0,7412.0,27460.0
2014-12-04,2899.456,4.3200,0.1419,4.3527,-0.2552,532687700.0,5060.0,7278.0,12159.0,2836.0,10106.0,39269.0
2014-12-05,2937.647,1.3200,0.9352,2.7099,-2.9800,640500300.0,4453.0,7438.0,11557.0,2443.0,10114.0,37434.0
2014-12-08,3020.258,2.8100,-1.0155,3.5406,-1.9676,587570900.0,3965.0,5384.0,8901.0,1496.0,9066.0,29857.0
2014-12-09,2856.269,-5.4300,-0.9194,2.3530,-6.1474,771998400.0,5468.0,6853.0,10783.0,3145.0,14705.0,42906.0
2014-12-10,2940.006,2.9300,-0.0115,3.1663,-1.7012,512886900.0,3722.0,4928.0,8947.0,1902.0,11949.0,32591.0
2014-12-11,2925.743,-0.4800,-0.9408,0.8731,-1.6121,482632750.0,3337.0,5103.0,8174.0,1245.0,9393.0,27982.0
2014-12-12,2938.173,0.4200,0.1236,1.2567,-0.3687,409480800.0,3396.0,4493.0,7252.0,1100.0,6548.0,23293.0
2014-12-15,2953.421,0.5200,-0.5693,0.7506,-1.6088,400371700.0,3790.0,4448.0,8186.0,907.0,6322.0,24125.0
2014-12-16,3021.518,2.3100,0.0132,2.3185,-0.3220,453842700.0,3828.0,4615.0,8592.0,1026.0,7752.0,26586.0
2014-12-17,3061.02,1.3100,0.3453,1.8230,-0.9328,542503200.0,3963.0,4963.0,9009.0,1101.0,7530.0,27317.0
2014-12-18,3057.521,-0.1100,0.0582,0.9399,-1.0030,435904950.0,3356.0,4540.0,7156.0,764.0,5680.0,21973.0
2014-12-19,3108.596,1.6700,-0.1454,1.9626,-1.2788,521073500.0,2841.0,3694.0,6500.0,864.0,6408.0,20734.0
2014-12-22,3127.445,0.6100,0.6650,2.6144,-0.5818,679371900.0,3854.0,5324.0,11702.0,1996.0,9549.0,33303.0
2014-12-23,3032.612,-3.0300,-1.3546,0.3003,-3.2543,437762400.0,3918.0,4807.0,11147.0,1622.0,7416.0,29616.0
2014-12-24,2972.532,-1.9800,0.2174,0.5901,-3.2217,376805250.0,3585.0,4874.0,11103.0,1338.0,7104.0,28592.0
2014-12-25,3072.536,3.3600,0.6705,3.3915,-0.0894,376947775.0,3440.0,4310.0,11398.0,1532.0,6049.0,27198.0
2014-12-26,3157.603,2.7700,0.1780,2.9819,-0.2721,460700950.0,3911.0,4958.0,14161.0,1539.0,6506.0,31588.0
